Fleet Name,Log.Event Dt,Pumping Hours,Transition Time (hrs),NPT_int,Time Available (hrs),NPT_ext,Ranking Score,Daily_Rank
Frac 40,2024-06-05,14.123888889,1.602499999,0.252222222,16.064444443,0.0,0.7637467147733346,4.0
Frac 08,2024-06-05,16.991111111,0.75888889,2.0927777770000002,20.287777778,0.0,0.696943972805773,5.0
Frac 38,2024-06-05,14.867777779,2.498055555,0.40249999999999997,17.995555557,0.0,0.6650098790278764,6.0
Frac 10,2024-06-05,12.82861111,5.663055557,0.0,18.567777779,0.0,0.385913470006313,7.0
Frac 90,2024-06-06,17.432777777000002,1.239166666,0.0,18.847499998,0.057777778,0.861833449233397,1.0
Frac 38,2024-06-06,13.533333332,2.149166666,0.0,16.93222222,2.274444444,0.7766638872530822,2.0
Frac 18,2024-06-06,4.0488888890000005,0.823888889,0.0,11.874444445,6.8575,0.6428215491232134,3.0
Frac 32,2024-06-06,10.514166668,1.412222222,1.633611112,13.696944447,0.0,0.5452554299901365,4.0
Frac 10,2024-06-06,9.577222222,3.2933333339999997,0.0,13.488333334,1.074444444,0.506198254526185,5.0
Frac 39,2024-06-06,12.17638889,1.457222222,3.208055555,16.923611111,0.0,0.443824374345138,6.0
Frac 40,2024-06-06,8.373611112,4.954722222,0.0,14.090000001,0.0,0.24264647904594425,7.0
Frac 38,2024-06-07,3.715,1.0,0.0,12.266666666,9.413888888,0.9517039921361865,1.0
Frac 32,2024-06-07,15.709444443999999,1.105000001,0.251388889,19.004444444,3.67611111,0.9363741798440198,2.0
Frac 39,2024-06-07,12.837777777,1.098611111,1.0936111099999999,15.361111108,0.0,0.6930198916701957,3.0
Frac 40,2024-06-07,9.073055555,3.088611111,1.259722223,14.731944443,2.453888888,0.38481029832740477,4.0
Frac 90,2024-06-07,7.264166667,5.172777776,0.0,14.569722222,4.106111112,0.19987257448829246,5.0
Frac 18,2024-06-07,0.0,0.0,0.0,24.0,48.0,-0.0,6.0
Frac 10,2024-06-07,0.0,0.0,0.0,0.0,0.0,,
Frac 21,2024-06-07,0.0,0.0,0.0,0.0,0.0,,
Frac 38,2024-06-08,14.425,1.453611111,0.240277778,16.838888888,1.046666666,0.8061633715655551,1.0
Frac 90,2024-06-08,8.449722222,0.658055555,0.467777778,9.776388889,0.033333334,0.7517034925703039,2.0
Frac 39,2024-06-08,13.267222223000001,1.5,0.438611111,15.640277777,0.0,0.7243228843837689,3.0
Frac 40,2024-06-08,11.988055554999999,2.2580555540000002,0.154444444,14.512777775,0.0,0.659801707533553,4.0
Frac 32,2024-06-08,8.952222224,0.795277778,2.073333333,11.975555557,0.0,0.5080024124178509,5.0
Frac 21,2024-06-08,4.354166667,0.7575000000000001,0.882222222,6.09638889,0.0,0.4452544767038311,6.0
Frac 10,2024-06-08,6.4966666669999995,5.829166667,0.0,12.385555557,0.0,0.05389342423342049,7.0
Frac 90,2024-06-09,4.372777777,0.423333333,0.120277778,7.825555554999999,5.5994444439999995,1.7201147988879517,1.0
Frac 32,2024-06-09,8.489166666000001,0.35027777800000004,0.070555556,8.988611112000001,0.0,0.8976173550581792,2.0
Frac 08,2024-06-09,6.920555556,4.420277778,0.008611111,19.90138889,17.072777778,0.8808798977100247,3.0
Frac 18,2024-06-09,3.8772222220000003,0.083333333,0.208611111,4.535,0.397222224,0.8664742216934368,4.0
Frac 38,2024-06-09,14.1575,2.425555555,0.511111111,17.794166665,1.067777778,0.6708461347996638,5.0
